"alpha","beta","sigma","convergence"
0.00664681013657447,2.51177278733486e-14,0.76312005748132,1.43740107021712e-05
0.00925864192286516,2.61512877876584e-13,0.760199530030542,3.16413987550351e-05
0.0162161378470183,6.9330292569206e-09,1.02418363176075,5.64364137814574e-05
0.00772148233779968,9.36897150200619e-10,0.776161257676943,4.91146636239973e-06
0.0175149198288306,5.04494208081642e-09,1.11730380825624,5.63397988440317e-05
0.01107099138395,8.25301211707513e-09,0.727256889700349,7.78772384339172e-05
0.00687942730667765,1.73747233660881e-09,0.71067929493425,2.93692511233427e-05
0.0181353086682298,1.29891052774351e-08,0.956033517913082,8.97451631485891e-06
0.0111808910596453,4.52755192749021e-09,0.516768785810124,1.73997313542728e-05
0.014869482300937,1.19198263256945e-08,0.754044293108374,8.79755674912848e-06
0.0152050894031772,4.65405410378766e-09,0.750577575099483,6.61075560587775e-06
0.00933730654309024,7.82969662883397e-13,0.66350623712779,7.87950318545632e-06
0.00787667291466587,5.09759907146282e-09,0.600184384574707,1.56196606421947e-06
0.0092235424850699,4.40285158039238e-09,0.624508284291134,9.08358811256376e-05
0.0341536233373289,3.61556363107157e-08,0.930855458965324,8.76954206108451e-05
0.0230504410137753,2.26489596644212e-08,0.758985108393347,4.39407300861789e-05
0.00663207464882148,1.23601427852158e-12,0.700477146628286,7.39285929795466e-05
0.00517899581339083,7.041237573836e-13,0.634027208538402,1.45555148816522e-05
0.00815056575797427,3.0164571060174e-09,0.609550929177124,4.7677841063889e-05
0.00617949974477338,3.96796588152581e-13,0.794002623981958,1.68700954638296e-05
0.00635881747037885,1.87383893432356e-13,0.537368028855232,6.15516315379509e-05
0.00685584071402569,3.3221732688363e-13,0.845960319698426,6.98049670208203e-05
0.00475646299633259,3.0498584122871e-13,0.51009320965003,5.88118878734535e-06
0.00782435413457924,3.56872036476439e-09,0.619742582491528,1.66636406634927e-05
0.0191188888629706,2.0325636241375e-08,0.635667121387097,3.24030352135688e-06
0.0170937028302273,2.18283184146301e-08,0.686739255009937,2.49368174548314e-05
0.0100366606701779,1.27432117515572e-08,0.542399152304703,9.33282346562298e-05
0.00957049941656302,9.3915630828472e-10,0.905334674191466,8.39494558851612e-05
0.0119179958409207,8.82038042625743e-13,0.760611237653046,6.01277589377556e-05
0.00910595752295878,1.18188030671616e-09,0.797690498410402,4.88414380635753e-05
0.0112956455189124,5.38956605473676e-09,0.688735660545746,1.69039339924665e-06
0.00689314321353449,2.30416674817412e-13,0.705212154460958,6.66410297744371e-07
0.00851391461022782,1.03164816474672e-08,0.603624154706645,2.28911767981512e-05
0.0108902564604882,1.04259105631936e-13,0.75514340914658,2.08577777544189e-06
0.0109843995708737,8.71629142029167e-09,0.670146663567553,3.90234063310631e-05
0.0115536462857274,1.60537464949738e-09,0.893846882516889,1.72738930011302e-06
0.0171251578806969,2.11632819209012e-08,0.657656523388008,2.42005807629318e-05
0.0162142692889339,1.36404567729452e-08,0.813784090406649,7.22756588955079e-07
0.0118082935657281,1.52380786267803e-08,0.696489762697916,3.13528837116906e-05
0.00686943450807342,1.01583686290008e-12,0.612837747363811,2.0266312555193e-05
0.00937241962187792,3.13902721736576e-13,0.696545716198396,1.64404417804112e-05
